idProduccion;Clasificacion_Produccion;Tipo_Produccion;Validacion_Produccion;N_Registro_Produccion;Descripcion_Produccion;Nombre_Produccion;Informacion_Adicional_Produccion;Autores_Produccion;Col_Grupo_Codigo_GrupLAC
14;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;14 ;Publicado en revista especializada ;Mixed Reality Boundaries in Museum Preservation Areas ;Italia, International Journal Of Art & Design Education ISSN: 1476-8070, 2013 vol:3 fasc: n/a págs: 63 - 74, DOI: ;LUIS MIGUEL MENDEZ MORENO, BERNARDO URIBE MENDOZA, ANDRES TOVAR PEREZ, OLMEDO ARCILA, JEAN PIERRE CHARALAMBOS, ALVARO DAVID LOPEZ, ;nro=00000000000724;
15;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;15 ;Publicado en revista especializada ;ANÁLISIS BIOMECÁNICO COMPARATIVO ENTRE CORONAS INDIVIDUALES Y RESTAURACIONES FERULIZADAS IMPLANTO SOPORTADAS MEDIANTE EL USO DEL MÉTODO DE LOS ELEMENTOS FINITOS. ;Colombia, Revista Avances Investigacion En Ingenieria ISSN: 1794-4953, 2011 vol:8 fasc: págs: 7 - 17, DOI: ;LUIS MIGUEL MENDEZ MORENO, JOSE ALEJANDRO GUERRERO VARGAS, DIANA MARTINEZ, ;nro=00000000000724;
16;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;16 ;Corto (Resumen) ;Application of the scourer or luffa cylindrica under natural rigid and flexible resin to obtain a natural composite material ;China, World Journal Of Engineering ISSN: 1708-5284, 2011 vol:8 fasc: N/A págs: 963 - 965, DOI:http://www.multi-science.co.uk/wje.htm ;CARLOS ALBERTO GUERRERO FAJARDO, DANIELA RINCON, ELIANA MARIA GUERRERO ROMERO, ;nro=00000000000724;
17;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;17 ;Publicado en revista especializada ;MECHANISM SYNTHESIS USING A MULTI-OBJECTIVE OPTIMIZATION BIO-INSPIRED TECHNIQUE ;Brasil, Cobem2009 - 20th. International Congress Of Mechanical Engineer. ISSN: 2176-5480, 2011 vol:1 fasc: 2 págs: 319 - , DOI: ;MARIA ALEJANDRA GUZMAN PARDO, CARLOS HUMBETO GALEANO URUENA, ;nro=00000000000724;
18;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;18 ;Publicado en revista especializada ;MODELING AND OPTIMIZATION OF A HEAT RECOVERY SYSTEM APPLIED TO A DIESEL ENGINE ;Brasil, Cobem2009 - 20th. International Congress Of Mechanical Engineer. ISSN: 2176-5480, 2011 vol:1 fasc: 2 págs: 416 - , DOI: ;MARIA ALEJANDRA GUZMAN PARDO, ADEL FERNANDO SARMIENTO RODRIGUEZ, OSCAR EDWIN PIAMBA TULCAN, ;nro=00000000000724;
19;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;19 ;Publicado en revista especializada ;Círculos tecnológicos de parentesco ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2010 vol:30 fasc: NA págs: 163 - 167, DOI: ;CAMILO MEJIA MONCAYO, ERNESTO CORDOBA NIETO, DAVID FERNANDO LARA SEPULVEDA, ;nro=00000000000724;
20;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;20 ;Publicado en revista especializada ;A novel multiobjective optimization algorithm based on bacterial chemotaxis ;Países Bajos, Engineering Applications Of Artificial Intelligence ISSN: 0952-1976, 2010 vol:23 fasc: 3 págs: 292 - 301, DOI:10.1016/j.engappai.2009.09.010 ;MARIA ALEJANDRA GUZMAN PARDO, JESUS ALBERTO DELGADO RIVERA, JONAS DE CARVALHO, ;nro=00000000000724;
21;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;21 ;Publicado en revista especializada ;Efecto del tratamiento térmico de desestabilización en el desgaste de hierros blancos de alto cromo ;Colombia, Revista De Ingeniería ISSN: 0121-4993, 2009 vol:30 fasc: n/a págs: 41 - 48, DOI: ;LUIS MIGUEL MENDEZ MORENO, WILSON ALEXANDER HORMAZA RODRIGUEZ, IVAN MORALES BECERRA, ;nro=00000000000724;
22;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;22 ;Publicado en revista especializada ;Sol-gel synthesis of iron catalysers supported on silica and titanium for selectively oxidising methane to formaldehyde ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2008 vol:28 fasc: 1 págs: 72 - 80, DOI: ;CARLOS ALBERTO GUERRERO FAJARDO, CLAIRE COURSON, ANNE CECILE ROGER, FRANCISCO SANCHEZ, ;nro=00000000000724;
23;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;23 ;Publicado en revista especializada ;Palladium catalysts immobilized in thin films of ionic liquid for the direct addition of aniline to styrene ;Estados Unidos, Journal Of Molecular Catalysis A-Chemical ISSN: 1381-1169, 2008 vol:279 fasc: págs: 187 - 199, DOI:10.1016/j.molcata.2007.06.016 ;ORIOL JIMENEZ SILVA, THOMAS E MULLER, JOHANNES A LERCHER, CARSTEN SIEVERS, RICHARD KNAPP, XILEI LIN, ANDREAS TURLER, BIRGIT WIERCZINSKI, ;nro=00000000000724;
